Территория,Год,median,q10,q90,q2_5,q97_5,Статус
Новгородская область,2073,1.331609766217785,1.157213301201295,1.7492257198517582,1.000517079282981,1.9059219417700723,прогноз
Новгородская область,2074,1.3316163401224357,1.1571934650761944,1.7492718515954615,1.0004797825177247,1.9059855341539311,прогноз
Новгородская область,2075,1.3316229006785691,1.1571734743159907,1.749318084580199,1.0004422633910433,1.9060492955051465,прогноз
Новгородская область,2076,1.3316294699256437,1.157153373811456,1.7493644620730318,1.000404567223479,1.906113268661009,прогноз
Новгородская область,2077,1.331636082531391,1.15713323469823,1.7494110516092476,1.000366766103626,1.9061775202038516,прогноз
Новгородская область,2078,1.3316427293247077,1.1571130399943372,1.7494578334864068,1.0003288437695734,1.9062420297111706,прогноз
Новгородская область,2079,1.3316494025269614,1.157092774623802,1.7495047916659567,1.000290785400124,1.9063067808896348,прогноз
Новгородская область,2080,1.3316560624767302,1.157072359305813,1.7495518467830213,1.000252511736717,1.9063716943521174,прогноз
Новгородская область,2081,1.3316626840135,1.157051741785367,1.749598950450546,1.0002139695005647,1.9064367227353483,прогноз
Новгородская область,2082,1.331669262623743,1.1570309104438388,1.7496460962330467,1.0001751457011476,1.9065018609757378,прогноз
Новгородская область,2083,1.3316758134805942,1.157009895232487,1.7496933148718028,1.0001360700806186,1.9065671400236712,прогноз
Новгородская область,2084,1.3316823678906478,1.1569887589185774,1.7497406688259267,1.0000968054878066,1.9066326222566976,прогноз
Новгородская область,2085,1.331688957112482,1.1569675651610534,1.7497882194707874,1.0000574161860802,1.9066983684457606,прогноз
Новгородская область,2086,1.3316955838350064,1.156946322454156,1.7498359690677827,1.0000179123194155,1.9067643792025233,прогноз
Новгородская область,2087,1.3317022471459128,1.1569250291262443,1.74988391563932,0.999978292297151,1.9068306524684133,прогноз
Новгородская область,2088,1.3317089113211116,1.1569036139918947,1.7499319874744648,0.9999384850729577,1.9068971163934019,прогноз
Новгородская область,2089,1.3317155435655048,1.1568820101881272,1.7499801202558052,0.9998984231100846,1.9069637073338477,прогноз
Новгородская область,2090,1.331722133987745,1.1568601960021934,1.7500282961307,0.9998580836740749,1.9070304084588185,прогноз
Новгородская область,2091,1.3317286907025787,1.1568381860635777,1.7500765329286503,0.9998174805474191,1.9070972384448088,прогноз
Новгородская область,2092,1.3317352349331875,1.1568160231931626,1.7501248727215004,0.9997766567492588,1.9071642391654042,прогноз
Новгородская область,2093,1.3317418063409932,1.1567937868690354,1.7501733946768503,0.9997356918398617,1.907231489706024,прогноз
Новгородская область,2094,1.3317484171701395,1.1567715045848996,1.750222120277571,0.9996946149039027,1.9072990099585678,прогноз
Новгородская область,2095,1.3317550689091298,1.1567491806778196,1.750271051140612,0.9996534309984176,1.907366800820014,прогноз
Новгородская область,2096,1.331761737069677,1.1567267662156762,1.7503201382449456,0.9996120912148194,1.9074348132458023,прогноз
Новгородская область,2097,1.3317683830947338,1.156704183690644,1.7503693048702043,0.9995705178368555,1.9075029707239928,прогноз
Новгородская область,2098,1.3317749909468726,1.1566813989910008,1.7504185209784027,0.9995286756745501,1.9075712442948534,прогноз
Новгородская область,2099,1.3317815516470546,1.1566583924516032,1.7504677703185287,0.9994865441590945,1.9076396186110374,прогноз
Новгородская область,2100,1.3317880962137774,1.156635225608302,1.7505171154287202,0.9994441845610496,1.9077081564759726,прогноз
Новосибирская область,1990,1.8306512972928823,1.79598440132094,1.864842180544665,1.7777588480823117,1.8830677337832935,наблюдение
Новосибирская область,1991,1.6996577174937086,1.6665582888118031,1.730518693526335,1.6496289923048477,1.7474479900332904,наблюдение
Новосибирская область,1992,1.480922208768823,1.4485600194446324,1.5114922364820098,1.4319028677768013,1.528149388149841,наблюдение
Новосибирская область,1993,1.303907189350382,1.2766641627811182,1.339588047455075,1.2600092165566636,1.3562429936795295,наблюдение
Новосибирская область,1994,1.2536216089958696,1.219295182507271,1.2821674268947747,1.2026539046409979,1.298808704761048,наблюдение
Новосибирская область,1995,1.2265475940763848,1.1950319632216262,1.2579035522522202,1.178390858817849,1.2745446566559973,наблюдение
Новосибирская область,1996,1.1872063966106838,1.1572193772454193,1.2200897912503077,1.1405785838521598,1.2367305846435672,наблюдение
Новосибирская область,1997,1.1561397012275387,1.1243763706016587,1.1872464558160793,1.107735664233979,1.203887162183759,наблюдение
Новосибирская область,1998,1.11862241962024,1.0855325413320134,1.1484025636567863,1.068891851610218,1.1650432533785817,наблюдение
Новосибирская область,1999,1.0852859574917126,1.0565484643779817,1.1194184944260481,1.0399077726119539,1.136059186192076,наблюдение
Новосибирская область,2000,1.1178259920398208,1.0851249783693693,1.1479950029007975,1.0684842880635075,1.1646356932066593,наблюдение
Новосибирская область,2001,1.1899052482916879,1.1589829291076328,1.2218529492257504,1.142342239969904,1.2384936383634793,наблюдение
Новосибирская область,2002,1.2688742520116942,1.2370641110580272,1.299934128969489,1.2204234225043646,1.3165748175231515,наблюдение
Новосибирская область,2003,1.3239133111984838,1.293168886571897,1.356038904483359,1.2765281980182346,1.3726795930370215,наблюдение
Новосибирская область,2004,1.3350580594024435,1.3025744710392109,1.3654444922606561,1.2859337816094487,1.3820851816904183,наблюдение
Новосибирская область,2005,1.300240872263779,1.2683189606200764,1.3311889741182272,1.2516782732345468,1.3478296615037568,наблюдение
Новосибирская область,2006,1.2957794567797576,1.2664231771460344,1.3292931917475128,1.2497824894684715,1.3459338794250757,наблюдение
Новосибирская область,2007,1.3890157359377513,1.3574070338756405,1.4202770506837747,1.3407663456140113,1.436917738945404,наблюдение
Новосибирская область,2008,1.5124354573075376,1.4796655301564645,1.542535545861271,1.4630248421868686,1.559176233830867,наблюдение
Новосибирская область,2009,1.5745601710675563,1.5439298976309066,1.6067999166456965,1.527289208785211,1.6234406054913921,наблюдение
Новосибирская область,2010,1.587442084170915,1.5541439135982866,1.6170139315097485,1.5375032250446241,1.633654620063411,наблюдение
Новосибирская область,2011,1.6101338419952451,1.5824283345680867,1.6452983524795486,1.5657876460144242,1.661939041033211,наблюдение
Новосибирская область,2012,1.6855604328696052,1.6512243205220567,1.714094345053485,1.634583630216195,1.7307350353593467,наблюдение
