project_code,project_name,indicator_code,indicator_name,declared_emiss_count,emiss_names_from_user,has_emiss_name_in_user_list,archive_source_count,uploaded_source_files,uploaded_source_titles,coverage_status,coverage_note
Я1,Федеральный проект «Поддержка семьи»,2.14.Я1.5,"Доля молодых студенческих семей и матерей (отцов) с детьми, получивших поддержку образовательных организаций высшего образования от числа всех молодых студенческих семей и матерей (отцов) с детьми, обучающихся в вузах",1,"Доля молодых студенческих семей и матерей (отцов) с детьми, получивших поддержку образовательных организаций высшего образования от числа всех молодых студенческих семей и матерей (отцов) с детьми, обучающихся в вузах",1,0,,,"ожидался в ЕМИСС по пользовательскому перечню, но отсутствует в переданном архиве","В перечне указан ненулевой счетчик/название таблицы ЕМИСС, но соответствующего файла в архиве нет."
Я2,Федеральный проект «Многодетная семья»,2.14.Я2.1,"Доля граждан, охваченных государственной социальной помощью на основании социального контракта, в общей численности малоимущих граждан",0,,0,0,,,не представлен в ЕМИСС по пользовательскому перечню,
Я2,Федеральный проект «Многодетная семья»,2.14.Я2.2,Доля обучающихся 1-4 классов в группах продленного дня,0,Доля обучающихся 1-4 классов в группах продленного дня,1,0,,,"противоречие в пользовательском перечне: счетчик 0, но название таблицы ЕМИСС приведено; в архиве отсутствует",Требуется ручная сверка с ЕМИСС или исходной ведомственной выгрузкой.
Я2,Федеральный проект «Многодетная семья»,2.14.Я2.3,Темп прироста числа многодетных семей,0,,0,0,,,не представлен в ЕМИСС по пользовательскому перечню,
Я2,Федеральный проект «Многодетная семья»,2.14.Я2.4,"Доля регионов, обеспечивших не ниже среднероссийских темпы повышения суммарного коэффициента рождаемости, из числа субъектов Российской Федерации, в которых по итогам 2023 года значение такого коэффициента было ниже среднероссийского",1,"Доля регионов, обеспечивших не ниже среднероссийских темпы повышения суммарного коэффициента рождаемости, из числа субъектов Российской Федерации, в которых по итогам 2023 года значение такого коэффициента было ниже среднероссийского",1,1,data (28).xls,"Доля регионов, обеспечивших не ниже среднероссийских темпы повышения суммарного коэффициента рождаемости, из числа субъектов Российской Федерации, в которых по итогам 2023 года значение такого коэффициента было ниже среднероссийского",представлен в переданном архиве,
Я3,Федеральный проект «Охрана материнства и детства»,2.14.Я3.1,Охват граждан репродуктивного возраста (18–49 лет) диспансеризацией с целью оценки репродуктивного здоровья,1,Охват граждан репродуктивного возраста (18–49 лет) диспансеризацией с целью оценки репродуктивного здоровья,1,1,data (29).xls,Охват граждан репродуктивного возраста (18–49 лет) диспансеризацией с целью оценки репродуктивного здоровья,представлен в переданном архиве,
Я3,Федеральный проект «Охрана материнства и детства»,2.14.Я3.2,"Доля женщин, проживающих в сельской местности, поселках городского типа и малых городах, получивших медицинскую помощь в женских консультациях, расположенных в сельской местности, поселках городского типа и малых городах",1,"Доля женщин, проживающих в сельской местности, поселках городского типа и малых городах, получивших медицинскую помощь в женских консультациях, расположенных в сельской местности, поселках городского типа и малых городах",1,1,data (30).xls,"Доля женщин, проживающих в сельской местности, поселках городского типа и малых городах, получивших медицинскую помощь в женских консультациях, расположенных в сельской местности, поселках городского типа и малых городах",представлен в переданном архиве,
Я3,Федеральный проект «Охрана материнства и детства»,2.14.Я3.3,Младенческая смертность,2,Младенческая смертность (на 1 тыс. родившихся живыми); Младенческая смертность на 1 тыс. родившихся живыми (оперативные данные),1,2,data (31).xls; data (32).xls,Младенческая смертность (на 1 тыс. родившихся живыми); Младенческая смертность на 1 тыс. родившихся живыми (оперативные данные),представлен в переданном архиве,
Я3,Федеральный проект «Охрана материнства и детства»,2.14.Я3.4,"Доля взятых под диспансерное наблюдение детей в возрасте 0–17 лет с впервые в жизни установленными диагнозами, от общего проведения профилактических медицинских осмотров",1,Доля взятых под диспансерное наблюдение детей в возрасте 0–17 лет с впервые в жизни установленными диагнозами по результатам проведения профилактических медицинских осмотров,1,1,data (33).xls,Доля взятых под диспансерное наблюдение детей в возрасте 0–17 лет с впервые в жизни установленными диагнозами по результатам проведения профилактических медицинских осмотров,представлен в переданном архиве,
Я3,Федеральный проект «Охрана материнства и детства»,2.14.Я3.5,"Доля беременных женщин, обратившихся в медицинские организации в ситуации репродуктивного выбора, получивших услуги по оказанию правовой, психологической и медико-социальной помощи, и вставших на учет по беременности",1,"Доля беременных женщин, обратившихся в медицинские организации в ситуации репродуктивного выбора, получивших, в том числе услуги по оказанию правовой, психологической и медико-социальной помощи, и вставших на учет по беременности",1,1,data (34).xls,"Доля беременных женщин, обратившихся в медицинские организации в ситуации репродуктивного выбора, получивших, в том числе услуги по оказанию правовой, психологической и медико-социальной помощи, и вставших на учет по беременности",представлен в переданном архиве,
Я4,Федеральный проект «Старшее поколение»,2.14.Я4.1,"Доля граждан старшего поколения, вовлеченных в региональные программы «Активное долголетие»",0,,0,0,,,не представлен в ЕМИСС по пользовательскому перечню,
Я5,Федеральный проект «Семейные ценности и инфраструктура культуры»,2.14.Я5.1,"Доля граждан, считающих семью главной ценностью",0,,0,0,,,не представлен в ЕМИСС по пользовательскому перечню,
Я5,Федеральный проект «Семейные ценности и инфраструктура культуры»,2.14.Я5.2,Увеличение числа посещений организаций культуры по отношению к 2023 году,1,Увеличение числа посещений организаций культуры по отношению к 2023 году,1,1,data (35).xls,Увеличение числа посещений организаций культуры по отношению к 2023 году,представлен в переданном архиве,
