region_code,region_name,tile_label,federal_district,tile_x,tile_y,has_tile_polygon,data_20.xls_2.14.Я.1,data_21.xls_2.14.Я.2,data_22.xls_2.14.Я.3,data_23.xls_2.14.Я.4,data_25.xls_2.14.Я.6,data_29.xls_2.14.Я3.1,data_30.xls_2.14.Я3.2,data_31.xls_2.14.Я3.3,data_32.xls_2.14.Я3.3,data_33.xls_2.14.Я3.4,data_34.xls_2.14.Я3.5,data_35.xls_2.14.Я5.2
51,Мурманская область,МУР,Северо-Западный федеральный округ,0,0,True,12.0,1.272,0.273,5.28,97.9,6.96,9.84,4.1,0.9,91.02,12.66,32.4
52,Нижегородская область,НИЖ,Приволжский федеральный округ,10,5,True,9.8,1.324,0.279,2.33,98.5,6.36,12.02,3.6,3.5,93.41,28.72,31.3
53,Новгородская область,НВГ,Северо-Западный федеральный округ,3,1,True,18.6,1.211,0.345,27.14,83.4,5.7,8.99,4.4,1.1,89.37,19.69,27.8
54,Новосибирская область,НСО,Сибирский федеральный округ,19,5,True,21.6,1.399,0.353,9.37,95.2,7.34,14.97,4.2,2.9,87.75,34.35,32.1
55,Омская область,ОМС,Сибирский федеральный округ,18,5,True,23.1,1.412,0.382,1.88,97.6,8.52,10.26,4.0,3.0,84.89,52.55,26.9
56,Оренбургская область,ОРЕ,Приволжский федеральный округ,12,7,True,14.1,1.382,0.372,1.75,96.5,7.69,10.51,3.5,2.3,91.48,23.07,29.7
57,Орловская область,ОРЛ,Центральный федеральный округ,9,4,True,14.5,1.119,0.252,3.41,96.0,5.04,14.38,5.5,5.9,78.41,15.48,28.9
58,Пензенская область,ПЕН,Приволжский федеральный округ,13,6,True,23.0,1.118,0.235,5.0,97.9,8.59,11.48,4.1,3.3,98.01,22.81,29.1
59,Пермский край,ПЕР,Приволжский федеральный округ,12,5,True,16.8,1.426,0.409,1.24,85.4,8.73,22.86,4.4,7.2,90.13,31.15,31.4
60,Псковская область,ПСК,Северо-Западный федеральный округ,0,2,True,24.5,1.24,0.318,4.8,96.2,4.12,14.37,4.3,4.4,96.78,21.1,21.0
61,Ростовская область,РОС,Южный федеральный округ,3,8,True,17.5,1.264,0.286,3.37,97.1,7.14,9.95,3.6,3.1,87.18,42.37,30.7
62,Рязанская область,РЯЗ,Центральный федеральный округ,4,5,True,20.9,1.149,0.286,26.93,97.6,10.3,12.0,4.0,1.9,86.09,38.46,28.7
63,Самарская область,САМ,Приволжский федеральный округ,10,7,True,19.4,1.302,0.3,4.38,96.8,6.79,17.7,4.4,3.3,80.1,27.39,29.8
64,Саратовская область,САР,Приволжский федеральный округ,11,7,True,17.7,1.065,0.248,4.77,98.3,8.49,14.23,4.1,4.5,84.0,30.61,33.1
65,Сахалинская область,САХ,Дальневосточный федеральный округ,24,4,True,25.1,1.635,0.449,10.27,95.7,9.09,13.6,3.8,1.9,77.82,24.82,26.9
66,Свердловская область,СВР,Уральский федеральный округ,15,5,True,15.5,1.461,0.371,0.84,97.1,7.15,16.43,4.0,3.4,94.83,24.46,27.4
67,Смоленская область,СМЛ,Центральный федеральный округ,7,3,True,17.5,1.012,0.228,3.06,70.5,9.2,7.1,3.6,6.1,85.06,22.6,35.1
68,Тамбовская область,ТАМ,Центральный федеральный округ,7,5,True,23.4,1.135,0.274,25.18,95.9,8.2,14.56,4.0,5.8,95.97,55.55,30.1
69,Тверская область,ТВЕ,Центральный федеральный округ,4,3,True,25.7,1.232,0.335,2.29,80.3,5.54,10.74,4.7,4.7,79.4,39.45,28.2
70,Томская область,ТОМ,Сибирский федеральный округ,20,5,True,23.4,1.134,0.28,3.21,97.5,5.38,13.86,4.3,1.1,69.53,26.09,31.4
71,Тульская область,ТУЛ,Центральный федеральный округ,5,4,True,12.0,1.129,0.271,29.61,97.0,9.51,8.3,3.9,1.9,86.58,42.19,33.3
72,Тюменская область,ТЮМ,Уральский федеральный округ,16,6,True,15.9,1.666,0.474,8.19,94.5,7.58,12.56,3.1,3.2,91.47,32.91,30.4
73,Ульяновская область,УЛЬ,Приволжский федеральный округ,14,6,True,15.3,1.225,0.298,8.99,96.6,7.04,11.26,4.4,5.3,97.78,37.63,25.3
74,Челябинская область,ЧЕЛ,Уральский федеральный округ,17,6,True,17.0,1.378,0.363,1.8,85.1,8.62,14.28,3.1,3.2,64.33,23.17,29.6
75,Забайкальский край,ЗАБ,Дальневосточный федеральный округ,22,3,True,22.5,1.49,0.493,5.26,95.3,10.15,6.75,4.8,5.7,82.07,17.04,27.0
76,Ярославская область,ЯРС,Центральный федеральный округ,5,3,True,15.0,1.217,0.264,2.31,98.5,7.75,14.83,3.0,2.6,86.29,27.86,25.2
77,Москва,МСК,Центральный федеральный округ,9,3,True,7.7,1.416,0.252,99.12,95.7,4.42,0.0,3.4,2.9,100.0,20.52,27.2
78,Санкт-Петербург,СПБ,Северо-Западный федеральный округ,1,1,True,10.1,1.231,0.211,0.83,97.0,7.71,0.0,4.1,3.6,98.41,29.93,27.6
79,Еврейская автономная область,ЕАО,Дальневосточный федеральный округ,25,3,True,33.5,1.367,0.444,17.34,65.3,2.98,20.48,7.7,7.2,40.76,23.07,25.0
83,Ненецкий автономный округ,НАО,Северо-Западный федеральный округ,3,0,True,30.7,1.503,0.593,23.19,97.8,6.22,21.8,4.2,10.2,90.62,24.24,31.3
86,Ханты-Мансийский автономный округ - Югра,ХМАО,Уральский федеральный округ,16,5,True,7.6,1.532,0.515,2.76,95.7,9.95,17.32,3.8,1.4,82.23,36.56,29.6
87,Чукотский автономный округ,ЧУК,Дальневосточный федеральный округ,23,2,True,11.3,1.684,0.643,45.02,98.8,6.36,10.06,25.7,0.0,55.21,34.36,40.4
89,Ямало-Ненецкий автономный округ,ЯНАО,Уральский федеральный округ,17,5,True,7.3,2.0,0.66,10.95,95.2,9.05,18.32,3.4,2.5,86.79,35.26,27.9
90,Запорожская область,ЗАП,Новые регионы / Южный макрорегион,9,9,True,,,,1.94,,,,,,,,
91,Республика Крым,КРЫ,Южный федеральный округ,5,9,True,11.3,1.459,0.388,4.91,93.8,7.39,12.71,4.6,3.7,71.41,36.44,32.1
92,Севастополь,СЕВ,Южный федеральный округ,6,9,True,30.2,1.061,0.19,8.42,97.8,7.02,0.0,1.9,4.3,74.58,23.64,34.2
93,Донецкая Народная Республика,ДНР,Новые регионы / Южный макрорегион,7,9,True,,,,3.14,,,,,,,,
94,Луганская Народная Республика,ЛНР,Новые регионы / Южный макрорегион,8,9,True,,,,1.52,,,,,,,,
95,Херсонская область,ХЕР,Новые регионы / Южный макрорегион,10,9,True,,,,3.74,,,,,,,,
