observation_id,project_code,project_name,indicator_code,indicator_name,source_table_id,source_file,source_variant_title,source_title,passport_title,territory_name,territory_type,territory_raw,territory_indent_spaces,year,period_type,period_code,period_label,month_start,month_end,period_start,period_end,unit,value,value_raw,last_update,row_number_excel,column_number_excel,region_code,is_subject_89,territory_canonical_status,region_name,federal_district,period_end_dt,period_start_dt,annualized_method,is_full_year,territory_scope_norm
13,Я,Национальный проект «Семья»,2.14.Я.1,Уровень бедности среди многодетных семей,data_20,data (20).xls,Уровень бедности среди многодетных семей,"Уровень бедности среди многодетных семей (процент, значение показателя за год)",Уровень бедности среди многодетных семей,Липецкая область,субъект РФ,        Липецкая область,8,2024,год,2024,значение показателя за год,,,2024-01-01,2024-12-31,процент,14.8,14.8,30.12.2025,14,5,48,True,mapped_to_89,Липецкая область,Центральный федеральный округ,2024-12-31,2024-01-01,explicit_year,True,субъект РФ
86,Я,Национальный проект «Семья»,2.14.Я.1,Уровень бедности среди многодетных семей,data_20,data (20).xls,Уровень бедности среди многодетных семей,"Уровень бедности среди многодетных семей (процент, значение показателя за год)",Уровень бедности среди многодетных семей,Магаданская область,субъект РФ,Магаданская область,0,2024,год,2024,значение показателя за год,,,2024-01-01,2024-12-31,процент,15.6,15.6,30.12.2025,87,5,49,True,mapped_to_89,Магаданская область,Дальневосточный федеральный округ,2024-12-31,2024-01-01,explicit_year,True,субъект РФ
14,Я,Национальный проект «Семья»,2.14.Я.1,Уровень бедности среди многодетных семей,data_20,data (20).xls,Уровень бедности среди многодетных семей,"Уровень бедности среди многодетных семей (процент, значение показателя за год)",Уровень бедности среди многодетных семей,Московская область,субъект РФ,        Московская область,8,2024,год,2024,значение показателя за год,,,2024-01-01,2024-12-31,процент,18.9,18.9,30.12.2025,15,5,50,True,mapped_to_89,Московская область,Центральный федеральный округ,2024-12-31,2024-01-01,explicit_year,True,субъект РФ
30,Я,Национальный проект «Семья»,2.14.Я.1,Уровень бедности среди многодетных семей,data_20,data (20).xls,Уровень бедности среди многодетных семей,"Уровень бедности среди многодетных семей (процент, значение показателя за год)",Уровень бедности среди многодетных семей,Мурманская область,субъект РФ,        Мурманская область,8,2024,год,2024,значение показателя за год,,,2024-01-01,2024-12-31,процент,12.0,12.0,30.12.2025,31,5,51,True,mapped_to_89,Мурманская область,Северо-Западный федеральный округ,2024-12-31,2024-01-01,explicit_year,True,субъект РФ
25,Я,Национальный проект «Семья»,2.14.Я.1,Уровень бедности среди многодетных семей,data_20,data (20).xls,Уровень бедности среди многодетных семей,"Уровень бедности среди многодетных семей (процент, значение показателя за год)",Уровень бедности среди многодетных семей,Ненецкий автономный округ (Архангельская область),субъект РФ,            Ненецкий автономный округ (Архангельская область),12,2024,год,2024,значение показателя за год,,,2024-01-01,2024-12-31,процент,30.7,30.7,30.12.2025,26,5,83,True,mapped_to_89,Ненецкий автономный округ,Северо-Западный федеральный округ,2024-12-31,2024-01-01,explicit_year,True,субъект РФ
57,Я,Национальный проект «Семья»,2.14.Я.1,Уровень бедности среди многодетных семей,data_20,data (20).xls,Уровень бедности среди многодетных семей,"Уровень бедности среди многодетных семей (процент, значение показателя за год)",Уровень бедности среди многодетных семей,Нижегородская область,субъект РФ,        Нижегородская область,8,2024,год,2024,значение показателя за год,,,2024-01-01,2024-12-31,процент,9.8,9.8,30.12.2025,58,5,52,True,mapped_to_89,Нижегородская область,Приволжский федеральный округ,2024-12-31,2024-01-01,explicit_year,True,субъект РФ
31,Я,Национальный проект «Семья»,2.14.Я.1,Уровень бедности среди многодетных семей,data_20,data (20).xls,Уровень бедности среди многодетных семей,"Уровень бедности среди многодетных семей (процент, значение показателя за год)",Уровень бедности среди многодетных семей,Новгородская область,субъект РФ,        Новгородская область,8,2024,год,2024,значение показателя за год,,,2024-01-01,2024-12-31,процент,18.6,18.6,30.12.2025,32,5,53,True,mapped_to_89,Новгородская область,Северо-Западный федеральный округ,2024-12-31,2024-01-01,explicit_year,True,субъект РФ
76,Я,Национальный проект «Семья»,2.14.Я.1,Уровень бедности среди многодетных семей,data_20,data (20).xls,Уровень бедности среди многодетных семей,"Уровень бедности среди многодетных семей (процент, значение показателя за год)",Уровень бедности среди многодетных семей,Новосибирская область,субъект РФ,Новосибирская область,0,2024,год,2024,значение показателя за год,,,2024-01-01,2024-12-31,процент,21.6,21.6,30.12.2025,77,5,54,True,mapped_to_89,Новосибирская область,Сибирский федеральный округ,2024-12-31,2024-01-01,explicit_year,True,субъект РФ
77,Я,Национальный проект «Семья»,2.14.Я.1,Уровень бедности среди многодетных семей,data_20,data (20).xls,Уровень бедности среди многодетных семей,"Уровень бедности среди многодетных семей (процент, значение показателя за год)",Уровень бедности среди многодетных семей,Омская область,субъект РФ,Омская область,0,2024,год,2024,значение показателя за год,,,2024-01-01,2024-12-31,процент,23.1,23.1,30.12.2025,78,5,55,True,mapped_to_89,Омская область,Сибирский федеральный округ,2024-12-31,2024-01-01,explicit_year,True,субъект РФ
58,Я,Национальный проект «Семья»,2.14.Я.1,Уровень бедности среди многодетных семей,data_20,data (20).xls,Уровень бедности среди многодетных семей,"Уровень бедности среди многодетных семей (процент, значение показателя за год)",Уровень бедности среди многодетных семей,Оренбургская область,субъект РФ,        Оренбургская область,8,2024,год,2024,значение показателя за год,,,2024-01-01,2024-12-31,процент,14.1,14.1,30.12.2025,59,5,56,True,mapped_to_89,Оренбургская область,Приволжский федеральный округ,2024-12-31,2024-01-01,explicit_year,True,субъект РФ
