region_code,region_name,indicator_key,source_file,indicator_code,z_score,spatial_lag_z,local_moran_I,p_value,cluster_type
11,Республика Коми,data (21).xls | 2.14.Я.2,data (21).xls,2.14.Я.2,0.4922807411158157,0.721807323181251,0.3553318439984893,0.22,NS
12,Республика Марий Эл,data (21).xls | 2.14.Я.2,data (21).xls,2.14.Я.2,-0.09904197878157649,-0.004702663271631095,0.000465761075965786,0.98,NS
13,Республика Мордовия,data (21).xls | 2.14.Я.2,data (21).xls,2.14.Я.2,-1.417847255394841,-0.5969979534320127,0.8464519097499162,0.1,NS
14,Республика Саха (Якутия),data (21).xls | 2.14.Я.2,data (21).xls,2.14.Я.2,0.44948764954429427,0.2955436707740141,0.13284322991390435,0.5,NS
15,Республика Северная Осетия - Алания,data (21).xls | 2.14.Я.2,data (21).xls,2.14.Я.2,0.6517822642460331,0.5415576344405985,0.35297766119541873,0.32,NS
16,Республика Татарстан,data (21).xls | 2.14.Я.2,data (21).xls,2.14.Я.2,0.2666444401023368,-0.1753887444262236,-0.04676643355778223,0.72,NS
17,Республика Тыва,data (21).xls | 2.14.Я.2,data (21).xls,2.14.Я.2,3.2388191637971255,0.5770888680484683,1.8690864850493696,0.02,HH
18,Удмуртская Республика,data (21).xls | 2.14.Я.2,data (21).xls,2.14.Я.2,-0.24687265875592473,0.120758900653967,-0.02981207087288741,0.78,NS
19,Республика Хакасия,data (21).xls | 2.14.Я.2,data (21).xls,2.14.Я.2,0.2355221916866845,0.942580772879784,0.22199868947037574,0.34,NS
20,Чеченская Республика,data (21).xls | 2.14.Я.2,data (21).xls,2.14.Я.2,4.557624440410389,0.7970194235190773,3.6325152041123454,0.02,HH
21,Чувашская Республика - Чувашия,data (21).xls | 2.14.Я.2,data (21).xls,2.14.Я.2,-0.18462816192462023,-0.4219353060939689,0.07790114001523149,0.52,NS
22,Алтайский край,data (21).xls | 2.14.Я.2,data (21).xls,2.14.Я.2,-0.7409383523544041,0.24330275379059785,-0.1802723415168948,0.48,NS
23,Краснодарский край,data (21).xls | 2.14.Я.2,data (21).xls,2.14.Я.2,0.5039515842716857,-0.10263476775308952,-0.05172295381052599,0.62,NS
24,Красноярский край,data (21).xls | 2.14.Я.2,data (21).xls,2.14.Я.2,-0.01345579563853275,0.7568198526488599,-0.010183613272427528,0.9,NS
25,Приморский край,data (21).xls | 2.14.Я.2,data (21).xls,2.14.Я.2,0.07602066855646708,0.056569263296683985,0.004300433215560732,1.0,NS
26,Ставропольский край,data (21).xls | 2.14.Я.2,data (21).xls,2.14.Я.2,-0.5191923323928821,0.8521317384217946,-0.4424202647772128,0.12,NS
27,Хабаровский край,data (21).xls | 2.14.Я.2,data (21).xls,2.14.Я.2,0.056569263296683985,0.1719809345047281,0.009728834766007726,0.92,NS
28,Амурская область,data (21).xls | 2.14.Я.2,data (21).xls,2.14.Я.2,-0.10293225983353345,0.2578913077354349,-0.02654533509663352,0.86,NS
29,Архангельская область,data (21).xls | 2.14.Я.2,data (21).xls,2.14.Я.2,-0.09126141667766341,0.32240513518038055,-0.029423149380715108,0.74,NS
30,Астраханская область,data (21).xls | 2.14.Я.2,data (21).xls,2.14.Я.2,0.8112837873762514,-0.9101655781145135,-0.7384025773522379,0.16,NS
31,Белгородская область,data (21).xls | 2.14.Я.2,data (21).xls,2.14.Я.2,-1.1299664575500574,-0.4511658099980809,0.5098022320912338,0.12,NS
32,Брянская область,data (21).xls | 2.14.Я.2,data (21).xls,2.14.Я.2,-1.0015871828354914,-0.8897416025917415,0.8911537851913978,0.04,LL
33,Владимирская область,data (21).xls | 2.14.Я.2,data (21).xls,2.14.Я.2,-1.223333202797014,-0.5114117702889689,0.6256269988956952,0.06,NS
34,Волгоградская область,data (21).xls | 2.14.Я.2,data (21).xls,2.14.Я.2,-1.1066247712383182,-0.4281597557770993,0.47381219179028666,0.12,NS
35,Вологодская область,data (21).xls | 2.14.Я.2,data (21).xls,2.14.Я.2,-0.06791973036592422,-0.35093767689576205,0.023835592390003994,0.8,NS
36,Воронежская область,data (21).xls | 2.14.Я.2,data (21).xls,2.14.Я.2,-0.635900763951578,-0.7815631843396149,0.4969966259979891,0.06,NS
37,Ивановская область,data (21).xls | 2.14.Я.2,data (21).xls,2.14.Я.2,-0.507521489237012,-0.4968232163441321,0.25214845864649615,0.24,NS
38,Иркутская область,data (21).xls | 2.14.Я.2,data (21).xls,2.14.Я.2,0.7957226631684253,0.8914235770465561,0.7093259427386096,0.12,NS
39,Калининградская область,data (21).xls | 2.14.Я.2,data (21).xls,2.14.Я.2,-0.6514618881594042,-0.31203486637619676,0.20327882322100452,0.38,NS
40,Калужская область,data (21).xls | 2.14.Я.2,data (21).xls,2.14.Я.2,-0.42971586819788227,-0.7065742030621216,0.30362614711506636,0.22,NS
41,Камчатский край,data (21).xls | 2.14.Я.2,data (21).xls,2.14.Я.2,0.7918323821164683,0.6738271902071203,0.5335581891565507,0.2,NS
42,Кемеровская область - Кузбасс,data (21).xls | 2.14.Я.2,data (21).xls,2.14.Я.2,-0.9976969017835352,0.04814032101744534,-0.048029449129970016,0.72,NS
43,Кировская область,data (21).xls | 2.14.Я.2,data (21).xls,2.14.Я.2,0.20439994327103225,0.04014363218842354,0.008205356142006955,0.92,NS
44,Костромская область,data (21).xls | 2.14.Я.2,data (21).xls,2.14.Я.2,0.14215544643972772,-0.2554312770702292,-0.036310947226588224,0.7,NS
45,Курганская область,data (21).xls | 2.14.Я.2,data (21).xls,2.14.Я.2,0.5272932705834241,0.5623058000510333,0.29650006437693827,0.32,NS
46,Курская область,data (21).xls | 2.14.Я.2,data (21).xls,2.14.Я.2,-0.7175966660426648,-0.9136668310612741,0.655644271843337,0.12,NS
47,Ленинградская область,data (21).xls | 2.14.Я.2,data (21).xls,2.14.Я.2,-1.7990947984865802,-0.2967979322560337,0.5339676161234026,0.14,NS
48,Липецкая область,data (21).xls | 2.14.Я.2,data (21).xls,2.14.Я.2,-0.8109634112896217,-0.849217841633861,0.6886845977794057,0.06,NS
