observation_id,project_code,project_name,indicator_code,indicator_name,source_table_id,source_file,source_variant_title,source_title,passport_title,territory_name,territory_type,territory_raw,territory_indent_spaces,year,period_type,period_code,period_label,month_start,month_end,period_start,period_end,unit,value,value_raw,last_update,row_number_excel,column_number_excel,region_code,is_subject_89,territory_canonical_status,region_name,federal_district,period_end_dt,period_start_dt,annualized_method,is_full_year,territory_scope_norm
5960,Я3,Федеральный проект «Охрана материнства и детства»,2.14.Я3.1,Охват граждан репродуктивного возраста (18–49 лет) диспансеризацией с целью оценки репродуктивного здоровья,data_29,data (29).xls,Охват граждан репродуктивного возраста (18–49 лет) диспансеризацией с целью оценки репродуктивного здоровья,Охват граждан репродуктивного возраста (18–49 лет) диспансеризацией с целью оценки репродуктивного здоровья,Охват граждан репродуктивного возраста (18–49 лет) диспансеризацией с целью оценки репродуктивного здоровья,Российская Федерация,Российская Федерация,Российская Федерация,0,2025,месяц,2025-12,декабрь,12.0,12.0,2025-12-01,2025-12-31,процент,33.46,33.46,07.04.2026,5,14,,False,Российская Федерация,,,2025-12-31,2025-12-01,december_or_full_cumulative,True,Российская Федерация
5963,Я3,Федеральный проект «Охрана материнства и детства»,2.14.Я3.1,Охват граждан репродуктивного возраста (18–49 лет) диспансеризацией с целью оценки репродуктивного здоровья,data_29,data (29).xls,Охват граждан репродуктивного возраста (18–49 лет) диспансеризацией с целью оценки репродуктивного здоровья,Охват граждан репродуктивного возраста (18–49 лет) диспансеризацией с целью оценки репродуктивного здоровья,Охват граждан репродуктивного возраста (18–49 лет) диспансеризацией с целью оценки репродуктивного здоровья,Российская Федерация,Российская Федерация,Российская Федерация,0,2026,месяц,2026-03,март,3.0,3.0,2026-03-01,2026-03-31,процент,7.5,7.5,07.04.2026,5,17,,False,Российская Федерация,,,2026-03-31,2026-03-01,latest_partial_year,False,Российская Федерация
7239,Я3,Федеральный проект «Охрана материнства и детства»,2.14.Я3.2,"Доля женщин, проживающих в сельской местности, поселках городского типа и малых городах, получивших медицинскую помощь в женских консультациях, расположенных в сельской местности, поселках городского типа и малых городах",data_30,data (30).xls,"Доля женщин, проживающих в сельской местности, поселках городского типа и малых городах, получивших медицинскую помощь в женских консультациях, расположенных в сельской местности, поселках городского типа и малых городах","Доля женщин, проживающих в сельской местности, поселках городского типа и малых городах, получивших медицинскую помощь в женских консультациях, расположенных в сельской местности, поселках городского типа и малых городах","Доля женщин, проживающих в сельской местности, поселках городского типа и малых городах, получивших медицинскую помощь в женских консультациях, расположенных в сельской местности, поселках городского типа и малых городах",Российская Федерация,Российская Федерация,Российская Федерация,0,2024,год,2024,значение показателя за год,,,2024-01-01,2024-12-31,процент,24.7,24.7,07.04.2026,5,3,,False,Российская Федерация,,,2024-12-31,2024-01-01,explicit_year,True,Российская Федерация
7251,Я3,Федеральный проект «Охрана материнства и детства»,2.14.Я3.2,"Доля женщин, проживающих в сельской местности, поселках городского типа и малых городах, получивших медицинскую помощь в женских консультациях, расположенных в сельской местности, поселках городского типа и малых городах",data_30,data (30).xls,"Доля женщин, проживающих в сельской местности, поселках городского типа и малых городах, получивших медицинскую помощь в женских консультациях, расположенных в сельской местности, поселках городского типа и малых городах","Доля женщин, проживающих в сельской местности, поселках городского типа и малых городах, получивших медицинскую помощь в женских консультациях, расположенных в сельской местности, поселках городского типа и малых городах","Доля женщин, проживающих в сельской местности, поселках городского типа и малых городах, получивших медицинскую помощь в женских консультациях, расположенных в сельской местности, поселках городского типа и малых городах",Российская Федерация,Российская Федерация,Российская Федерация,0,2025,месяц,2025-12,декабрь,12.0,12.0,2025-12-01,2025-12-31,процент,54.32,54.32,07.04.2026,5,15,,False,Российская Федерация,,,2025-12-31,2025-12-01,december_or_full_cumulative,True,Российская Федерация
7254,Я3,Федеральный проект «Охрана материнства и детства»,2.14.Я3.2,"Доля женщин, проживающих в сельской местности, поселках городского типа и малых городах, получивших медицинскую помощь в женских консультациях, расположенных в сельской местности, поселках городского типа и малых городах",data_30,data (30).xls,"Доля женщин, проживающих в сельской местности, поселках городского типа и малых городах, получивших медицинскую помощь в женских консультациях, расположенных в сельской местности, поселках городского типа и малых городах","Доля женщин, проживающих в сельской местности, поселках городского типа и малых городах, получивших медицинскую помощь в женских консультациях, расположенных в сельской местности, поселках городского типа и малых городах","Доля женщин, проживающих в сельской местности, поселках городского типа и малых городах, получивших медицинскую помощь в женских консультациях, расположенных в сельской местности, поселках городского типа и малых городах",Российская Федерация,Российская Федерация,Российская Федерация,0,2026,месяц,2026-03,март,3.0,3.0,2026-03-01,2026-03-31,процент,12.5,12.5,07.04.2026,5,18,,False,Российская Федерация,,,2026-03-31,2026-03-01,latest_partial_year,False,Российская Федерация
8615,Я3,Федеральный проект «Охрана материнства и детства»,2.14.Я3.3,Младенческая смертность,data_31,data (31).xls,Младенческая смертность (на 1 тыс. родившихся живыми),Младенческая смертность (на 1 тыс. родившихся живыми),Младенческая смертность (на 1 тыс. родившихся живыми),Российская Федерация,Российская Федерация,Российская Федерация,0,2012,год,2012,значение показателя за год,,,2012-01-01,2012-12-31,"промилле (0,1 процента)",8.6,8.6,01.09.2025,6,2,,False,Российская Федерация,,,2012-12-31,2012-01-01,explicit_year,True,Российская Федерация
8616,Я3,Федеральный проект «Охрана материнства и детства»,2.14.Я3.3,Младенческая смертность,data_31,data (31).xls,Младенческая смертность (на 1 тыс. родившихся живыми),Младенческая смертность (на 1 тыс. родившихся живыми),Младенческая смертность (на 1 тыс. родившихся живыми),Российская Федерация,Российская Федерация,Российская Федерация,0,2013,год,2013,значение показателя за год,,,2013-01-01,2013-12-31,"промилле (0,1 процента)",8.2,8.2,01.09.2025,6,3,,False,Российская Федерация,,,2013-12-31,2013-01-01,explicit_year,True,Российская Федерация
8617,Я3,Федеральный проект «Охрана материнства и детства»,2.14.Я3.3,Младенческая смертность,data_31,data (31).xls,Младенческая смертность (на 1 тыс. родившихся живыми),Младенческая смертность (на 1 тыс. родившихся живыми),Младенческая смертность (на 1 тыс. родившихся живыми),Российская Федерация,Российская Федерация,Российская Федерация,0,2014,год,2014,значение показателя за год,,,2014-01-01,2014-12-31,"промилле (0,1 процента)",7.4,7.4,01.09.2025,6,4,,False,Российская Федерация,,,2014-12-31,2014-01-01,explicit_year,True,Российская Федерация
8618,Я3,Федеральный проект «Охрана материнства и детства»,2.14.Я3.3,Младенческая смертность,data_31,data (31).xls,Младенческая смертность (на 1 тыс. родившихся живыми),Младенческая смертность (на 1 тыс. родившихся живыми),Младенческая смертность (на 1 тыс. родившихся живыми),Российская Федерация,Российская Федерация,Российская Федерация,0,2015,год,2015,значение показателя за год,,,2015-01-01,2015-12-31,"промилле (0,1 процента)",6.5,6.5,01.09.2025,6,5,,False,Российская Федерация,,,2015-12-31,2015-01-01,explicit_year,True,Российская Федерация
8619,Я3,Федеральный проект «Охрана материнства и детства»,2.14.Я3.3,Младенческая смертность,data_31,data (31).xls,Младенческая смертность (на 1 тыс. родившихся живыми),Младенческая смертность (на 1 тыс. родившихся живыми),Младенческая смертность (на 1 тыс. родившихся живыми),Российская Федерация,Российская Федерация,Российская Федерация,0,2016,год,2016,значение показателя за год,,,2016-01-01,2016-12-31,"промилле (0,1 процента)",6.0,6.0,01.09.2025,6,6,,False,Российская Федерация,,,2016-12-31,2016-01-01,explicit_year,True,Российская Федерация
