region_code,region_name,tile_label,federal_district,tile_x,tile_y,has_tile_polygon,territory_name,indicator_code,indicator_name,source_file,source_title,year,period_type,period_label,period_end,unit,value,last_update,data_mode,has_value,missing_reason
32,Брянская область,БРЯ,Центральный федеральный округ,8,4,True,Брянская область,2.14.Я.1,Уровень бедности среди многодетных семей,data (20).xls,"Уровень бедности среди многодетных семей (процент, значение показателя за год)",2024.0,год,значение показателя за год,2024-12-31,процент,21.9,30.12.2025,complete_year,True,
33,Владимирская область,ВЛД,Центральный федеральный округ,6,4,True,Владимирская область,2.14.Я.1,Уровень бедности среди многодетных семей,data (20).xls,"Уровень бедности среди многодетных семей (процент, значение показателя за год)",2024.0,год,значение показателя за год,2024-12-31,процент,16.3,30.12.2025,complete_year,True,
34,Волгоградская область,ВГГ,Южный федеральный округ,4,8,True,Волгоградская область,2.14.Я.1,Уровень бедности среди многодетных семей,data (20).xls,"Уровень бедности среди многодетных семей (процент, значение показателя за год)",2024.0,год,значение показателя за год,2024-12-31,процент,19.1,30.12.2025,complete_year,True,
35,Вологодская область,ВОЛ,Северо-Западный федеральный округ,1,2,True,Вологодская область,2.14.Я.1,Уровень бедности среди многодетных семей,data (20).xls,"Уровень бедности среди многодетных семей (процент, значение показателя за год)",2024.0,год,значение показателя за год,2024-12-31,процент,11.4,30.12.2025,complete_year,True,
36,Воронежская область,ВРН,Центральный федеральный округ,9,5,True,Воронежская область,2.14.Я.1,Уровень бедности среди многодетных семей,data (20).xls,"Уровень бедности среди многодетных семей (процент, значение показателя за год)",2024.0,год,значение показателя за год,2024-12-31,процент,7.9,30.12.2025,complete_year,True,
37,Ивановская область,ИВН,Центральный федеральный округ,7,4,True,Ивановская область,2.14.Я.1,Уровень бедности среди многодетных семей,data (20).xls,"Уровень бедности среди многодетных семей (процент, значение показателя за год)",2024.0,год,значение показателя за год,2024-12-31,процент,12.5,30.12.2025,complete_year,True,
38,Иркутская область,ИРК,Сибирский федеральный округ,18,7,True,Иркутская область,2.14.Я.1,Уровень бедности среди многодетных семей,data (20).xls,"Уровень бедности среди многодетных семей (процент, значение показателя за год)",2024.0,год,значение показателя за год,2024-12-31,процент,37.6,30.12.2025,complete_year,True,
39,Калининградская область,КГД,Северо-Западный федеральный округ,0,1,True,Калининградская область,2.14.Я.1,Уровень бедности среди многодетных семей,data (20).xls,"Уровень бедности среди многодетных семей (процент, значение показателя за год)",2024.0,год,значение показателя за год,2024-12-31,процент,13.9,30.12.2025,complete_year,True,
40,Калужская область,КЛЖ,Центральный федеральный округ,4,4,True,Калужская область,2.14.Я.1,Уровень бедности среди многодетных семей,data (20).xls,"Уровень бедности среди многодетных семей (процент, значение показателя за год)",2024.0,год,значение показателя за год,2024-12-31,процент,17.1,30.12.2025,complete_year,True,
41,Камчатский край,КАМ,Дальневосточный федеральный округ,24,2,True,Камчатский край,2.14.Я.1,Уровень бедности среди многодетных семей,data (20).xls,"Уровень бедности среди многодетных семей (процент, значение показателя за год)",2024.0,год,значение показателя за год,2024-12-31,процент,21.7,30.12.2025,complete_year,True,
